company_name,job_description,job_link,job_location,job_posted,job_salary,job_title,posted_website
SoundHound Inc.,Good understanding of Machine Learning algorithms. Experience building production systems based on Machine Learning lifecycle.,https://www.workopolis.com/job/YeQRFK4FzecJaovguwYlHwXdoOHI_0PoRaGYW8e6SANiZ6_pn29f3w?q=machine+learning,"Toronto, ON",N/A,N/A,Senior Machine Learning Research Engineer,www.workopolis.com
Glu Mobile,"Some R/Python data mining, machine learning, or statistical modeling experience is preferred. As a Data Analyst, you will consult with the team on reading the…",https://www.workopolis.com/job/75KMEj5iGo5YFFT3Sh2vYy_6YzHT9zHXH4XkWdV2oJzfSLzfpqHqvw?q=machine+learning,"Toronto, ON",N/A,N/A,Data Analyst,www.workopolis.com
Celestica,"Experience or courses in artificial intellingence/machine learning is an asset. CLS) is a US$5.8 billion global leader in design, manufacturing, hardware…",https://www.workopolis.com/job/v1eQUjFGajO1BMPc7S1fTbOoEZ-UbgCrl86NVRAyf8qhogkXEPp7vA?q=machine+learning,"Toronto, ON",N/A,N/A,"Student Intern, Green Energy",www.workopolis.com
George Brown College,"Minimum five years’ experience working in an industrial environment, with exposure to a variety of metal cutting machine tools such as Lathes and Milling…",https://www.workopolis.com/job/FoLTtxPYj2JZqU4NJfS1HSiHzdQTEQRNxuG6B8yamaxkQQG3nanCsg?q=machine+learning,"Toronto, ON",8d,N/A,Engineering Technologist,www.workopolis.com
The Toronto Region Board of Trade,"Having worked with and built AI/Machine learning data models would be an asset. Agile and open to changing directions, adopting new practices, or learning…",https://www.workopolis.com/job/9D6pKccU61sWKhKUoh_UWfR-puILhqWLdwgiaylxoZhptKtDfbZElQ?q=machine+learning,"Toronto, ON",4d,N/A,Data Architect,www.workopolis.com
NVIDIA,"We are looking for Deep Learning Interns for our Simulation Technology team! More recently, GPU deep learning ignited modern AI — the next era of computing.",https://www.workopolis.com/job/TWvHs_IfQjak6Obicc3OST7fJwyBqfTixSAxqwFcLDR3DfqTeDw0-g?q=machine+learning,"Toronto, ON",N/A,N/A,"Deep Learning Engineering Intern, Content & Technology - Fall 2021",www.workopolis.com
QuadReal,"Headquartered in Vancouver, Canada, QuadReal Property Group is a global real estate investment, operating and development company.",https://www.workopolis.com/job/LiwFkIt5hD0ER6M88XzBsQsWDFXy2BWJJ4PNK9BSwtWuzuRYLdx-qQ?q=machine+learning,"Toronto, ON",N/A,N/A,"Intern, Data Scientist",www.workopolis.com
University Health Network,Experience with machine learning and data modelling. This rich working environment provides ample opportunities for collaboration and scientific exchange with a…,https://www.workopolis.com/job/W3KwYZ4JSa6lX_JAcR03nc4MOEG2yMXFKXK4toiP_w7EUNO1q-rmMw?q=machine+learning,"Toronto, ON",8d,N/A,Scientific Associate II,www.workopolis.com
SoundHound Inc.,"You are familiar with machine learning and natural language processing algorithms. Today, our customized voice AI solutions allow people to talk to phones, cars…",https://www.workopolis.com/job/1kDJ0lL5GUH77QMK4vpREOlbD-XKZfiCw2xsAsZ7BRBmQGIDxJz9LA?q=machine+learning,"Toronto, ON",N/A,N/A,"Senior Software Engineer, Machine Learning Algorithms",www.workopolis.com
Veeva Systems,"In Machine Learning, Applied Statistics, Mathematics, Computer Science, or other quantitative disciplines. Hypothesis testing, machine learning, and retrieval…",https://www.workopolis.com/job/ENJ7l8rNIUOk4gRBpe1NIiQFb8yHLxPporHU-0P9Zmd7tbXliyHaMg?q=machine+learning,"Toronto, ON",N/A,N/A,Data Scientist (Remote),www.workopolis.com
