company_name,job_description,job_link,job_location,job_posted,job_salary,job_title,posted_website
BenchSci,BenchSci's vision is to bring medicine to patients 50% faster by 2025. We're doing this by empowering scientists with the world’s most advanced biomedical…,https://www.workopolis.com/jobsearch/viewjob/DVaDdaoZ6Ko6bhwHtky6xug7jUIB2i9qLWY4hWkFScRYWf8inVdQuQ?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $70,000 - $96,000 a year",Machine Learning Engineer,www.workopolis.com
SNC-Lavalin,"Why join us? This position is based out of our office in Toronto and reports to the Manager – Automation. The Data Analyst relies on their technical skill,…",https://www.workopolis.com/jobsearch/viewjob/XbiAEWw-WC5S3bMadgwEeXJGHdv9ASKOATw8w0BAyEUc-CGW1qmM4g?ak=machine+learning&l=Toronto,"Toronto, ON",10 days ago,"Estimated: $76,000 - $100,000 a year",Data Analyst,www.workopolis.com
Capgemini,"Duration: 6+ months Requirements: Expertise with developing modular front end applications Client Side Technologies - XHTM/HTML5, CSS3, Bootstrap, , SASS,…",https://www.workopolis.com/jobsearch/viewjob/fUcXPnTxfAg9ugEc6tL2AX78k_VtxU2Lc-ZFp1KdhTd4nlphd2EUDg?ak=machine+learning&l=Toronto,"Toronto, ON",4 days ago,"Estimated: $78,000 - $100,000 a year",Front End Developer,www.workopolis.com
Affinity.co,"Toronto Data is at the heart and core of Affinity’s business and our lean, mean, data team needs a passionate Data Analyst / Data Engineer who will influence…",https://www.workopolis.com/jobsearch/viewjob/3yQrTAcYwo5KdeE0I_pSLp5weBfrO4cVk2wKME0LasO-BsqzM7vGrw?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $71,000 - $92,000 a year",Data Analyst,www.workopolis.com
SickKids,FTE 1.00 Hours of Work 35.00 Dept/Program Name Genetics & Genome Biology Contract Length Date Posted 2019-11-18 Deadline to Apply Target Openings…,https://www.workopolis.com/jobsearch/viewjob/E4d6wMutQ9E2YQFgD7UbPvmbgQv0FQ2aug9VMFwUpS4-_cFNsrJclg?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $160,000 - $220,000 a year",Scientist,www.workopolis.com
SoundHound Inc.,"You would join a team working on cutting edge Voice AI Research. You would work on implementing Machine Learning (ML) algorithms, optimize ML training &…",https://www.workopolis.com/jobsearch/viewjob/bcYGwdxFWViNuSItpLAId6x8URWjognjK7tHSFynSaT8ZrOwhaaSfA?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $69,000 - $99,000 a year","Senior Software Engineer, Machine Learning Algorithms (C++)",www.workopolis.com
RBC,"What is the opportunity? As a leading technology infrastructure organization, RBC Tech Infrastructure is seeking a Hands-on, Director, AI Engineering, which…",https://www.workopolis.com/jobsearch/viewjob/RqCGSg0sAA5Ayk2Y2C7pWBbq7V6uFzftISIMvr2S2YlgAXni_5hQyg?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $130,000 - $170,000 a year",Director - AI Engineering,www.workopolis.com
SoundHound Inc.,"You would join a team working on cutting edge Voice AI Research. You would work on delivering Language Models for various customers, like Honda, PSA, Daimler,…",https://www.workopolis.com/jobsearch/viewjob/2MICm5ZpEZ1zaC2O-Lt01WlH9J2flKbC2XGzjnQpVBaE2-56GGTHNQ?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $87,000 - $110,000 a year","Senior Software Engineer, Machine Learning Algorithms",www.workopolis.com
Augmenta,"TORONTO, CANADA - MULTIPLE ROLES Do you want to help change the way people understand, design for and solve the most challenging real-world design problems…",https://www.workopolis.com/jobsearch/viewjob/w0AyVxjho82d-Tzq59dSrcJ38mPHs9JKveA0ecoMeanuXy8tAbv3hQ?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $80,000 - $100,000 a year",Senior Machine Learning Engineer,www.workopolis.com
Pinterest,"About Pinterest: Millions of people across the world come to Pinterest to find new ideas every day. It’s where they get inspiration, dream about new…",https://www.workopolis.com/jobsearch/viewjob/vqoMazqA7kK0M34jUjda58H1HjE-l9F7lMpc8J1sUWRpavfRLkk_kQ?ak=machine+learning&l=Toronto,"Toronto, ON",14 days ago,"Estimated: $81,000 - $110,000 a year","Senior Machine Learning Engineer, Shopping Content Mining",www.workopolis.com
Glu Mobile,"Role Overview: As a Data Analyst, you will consult with the team on reading the performance of a new game going to market. You will work to define business…",https://www.workopolis.com/jobsearch/viewjob/9ooVGqiwLRqm4P4DaNPaCCCw-y3Zw7gA4-hkLYaIBLLxeY_9qxuH0w?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $59,000 - $82,000 a year",Data Analyst,www.workopolis.com
CI Investments Inc,"ABOUT US CI Investments is one of Canada’s largest investment management companies. It offers a wide range of investment products and services, and is on the…",https://www.workopolis.com/jobsearch/viewjob/acHVbeTd_qCLcmpeXYhWGNRCiPGzjths3aoQeVAt8RCeSlmkTSttjw?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $76,000 - $100,000 a year",Data Scientist,www.workopolis.com
Pinterest,PLEASE ONLY APPLY FOR THIS POSITION ONCE. Location preferences are specified within the application. Multiple applications may delay our recruitment process.…,https://www.workopolis.com/jobsearch/viewjob/Hrs_c-mXd5DjiNSCrvTYuVZN5H8MdAzKUgSe-ITeoPSknlu-FNVjDg?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $46,000 - $64,000 a year",Pinterest Labs Research Intern,www.workopolis.com
The Toronto Region Board of Trade,"Position Description: Reporting to the Director, Technology Services, The Toronto Region Board of Trade (The Board) is seeking a Data Architect to play a…",https://www.workopolis.com/jobsearch/viewjob/VReEcIlL1cksaqDTZl8tljsBmfxNTpm158mQWgqU8qfWwYlqYWzrNQ?ak=machine+learning&l=Toronto,"Toronto, ON",4 days ago,"Estimated: $87,000 - $120,000 a year",Data Architect,www.workopolis.com
Loblaw Companies Limited,"Lieu: 1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5 C’est toute une décision que de se joindre à une entreprise. Nous offrons des perspectives d…",https://www.workopolis.com/jobsearch/viewjob/NLJY56NyO8zYSiB3NPjSSluRHealzswrbCC77RB7hBu3d0JtoZDuag?ak=machine+learning&l=Toronto,"Brampton, ON",,"Estimated: $74,000 - $100,000 a year",Machine Learning Software Developer,www.workopolis.com
Hopper,"At Hopper, we’re on a mission to make booking travel faster, easier, and more transparent. We are leveraging the power that comes from combining massive…",https://www.workopolis.com/jobsearch/viewjob/_vyc9lBx-2UhdrHFNRYmOSO9KW4-QzB5hJmWeU_95GGc7wuiF4ROXQ?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $38,000 - $56,000 a year",Travel Agent - Hotels (Remote),www.workopolis.com
Hopper,"At Hopper, we’re on a mission to make booking travel faster, easier, and more transparent. We are leveraging the power that comes from combining massive…",https://www.workopolis.com/jobsearch/viewjob/_WeK8DUoireG97-RHoGF0G5zeGahSliwC5Pno2xjbSe4UxWXWZUbMw?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $96,000 - $140,000 a year",Data Scientist - Lodging Team,www.workopolis.com
SoundHound Inc.,"At SoundHound Inc., we believe every brand should have a voice. As the leading innovator of conversational technologies, we're trusted by top brands around…",https://www.workopolis.com/jobsearch/viewjob/b_uGgCPB5N0-Q6Xlk5sI49Y3xxi8AArRO7Qw97ot9FgQag8LQcjz3g?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $100,000 - $130,000 a year","Senior Machine Learning Engineer, Speech Recognition",www.workopolis.com
TRIANGLES,COMPETITIVE SALARIES TOP-OF-THE-LINE BENEFITS FLEXIBLE WORKING AREAS ONGOING CAREER DEVELOPMENT CHARITABLE IMPACT DOWNTOWN TORONTO MUSIC-FRIENDLY…,https://www.workopolis.com/jobsearch/viewjob/UktilLi_qEaR1Xy58OKhzA2cakZO1zGqxuivMI4xyp9Mdjn_aeh6_g?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $64,000 - $83,000 a year",DAT A SCIENTIST,www.workopolis.com
Geneseeq Technology,"Department: Research and Development Location: 101 College Street, Toronto, Ontario, Canada Salary: Based on level of experience About Geneseeq Geneseeq…",https://www.workopolis.com/jobsearch/viewjob/iXtAJ_WXPvoOy4wqiUXpCGC7qDPHbCYmG3rzSiP1r3j6HynimMi5XA?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $69,000 - $100,000 a year",Bioinformatics Scientist II,www.workopolis.com
thinkCOMPASS,Duties/Responsibilities: Identify valuable data sources and automate collection processes Undertake preprocessing of structured and unstructured data Analyze…,https://www.workopolis.com/jobsearch/viewjob/8mBoLpyVkwwGg-lqI9SypDzM-GMO0S7kSJiQzxxRbYlCnwJ4FPdNfg?ak=machine+learning&l=Toronto,"Vaughan, ON",1 day ago,"Estimated: $63,000 - $80,000 a year",Data Scientist,www.workopolis.com
PwC,"Our culture and values are something we’re proud of, and are why we’re recognized as a “Top Company” to work for in Canada. At PwC we create leaders within…",https://www.workopolis.com/jobsearch/viewjob/SxbMN0KHwbI9OcRH3e-gyhG-Kyghr819CwkzKN6DrRu4SpbsMJIQbA?ak=machine+learning&l=Toronto,"Toronto, ON",Today,"Estimated: $85,000 - $120,000 a year","Analytics, Data Scientist, Associate",www.workopolis.com
Hatch,"Requisition ID: 33710 Job Category: Information Technology With over six decades of business and technical experience in the mining, energy, and…",https://www.workopolis.com/jobsearch/viewjob/2ixreIZfvZuCd_FNT745T17WciMoLkgnGjrPFl62F-2MnpufAcwZDA?ak=machine+learning&l=Toronto,"Mississauga, ON",,"Estimated: $66,000 - $93,000 a year",Data Scientist,www.workopolis.com
George Brown College,"At George Brown College, we have established a reputation for equipping our students with the skills, industry experience and credentials to pursue the…",https://www.workopolis.com/jobsearch/viewjob/2f0Sb1gAfoPgXwVGbS-ezxDZqgYMqJAP4-9gVjldUAFqbZQxG8jXkA?ak=machine+learning&l=Toronto,"Toronto, ON",8 days ago,$35 - $40 an hour,Engineering Technologist,www.workopolis.com
Veeva Systems,"At Veeva, we build enterprise cloud technology that powers the biggest names in the pharmaceutical, biotech, consumer goods, chemical & cosmetics industries.…",https://www.workopolis.com/jobsearch/viewjob/kb0g79YjFZYjIIuuBcwSwFncDN3uRshL2ERROGIs008t2b2yAhhRqQ?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $67,000 - $95,000 a year",Data Scientist (Remote),www.workopolis.com
Hopper,"At Hopper, we’re on a mission to make booking travel faster, easier, and more transparent. We are leveraging the power that comes from combining massive…",https://www.workopolis.com/jobsearch/viewjob/qnq8MBT46NoUUd4DV9JwviZteLcTloOf70Et7wAfmhcsCgKKzkOXaQ?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $65,000 - $88,000 a year",Data Analyst,www.workopolis.com
Winterlight Labs,"Toronto, Canada Full Time Job Summary We are seeking an individual with excellent attention to detail to oversee quality assurance of our data gathering and…",https://www.workopolis.com/jobsearch/viewjob/WkueVjpjI_zjsKqNJe1K7_ceQF-EVssN3zB3sX_VhBtyfavaRnbMTg?ak=machine+learning&l=Toronto,"Toronto, ON",11 days ago,"Estimated: $47,000 - $66,000 a year",Data Quality Associate,www.workopolis.com
Overbond,About Us We’re a leading financial technology company in the institutional debt capital markets - the largest capital market globally and the lifeline of…,https://www.workopolis.com/jobsearch/viewjob/zNKD87Z0xq1app-KICN6iNvgZs10ZYyrbDtMymoaF6tgtHzM-sWDTg?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $85,000 - $110,000 a year",Data Scientist,www.workopolis.com
RBC,What is the opportunity? RBC Canadian Banking Operations (CBO) is on an exciting Data & Analytics journey that you can play a key leadership role in. Data…,https://www.workopolis.com/jobsearch/viewjob/oEjGRC9J-y1xO4bQAnl_PIwFIc8Ng4Ca5bezrvJMhUaOkzr2bKLMuQ?ak=machine+learning&l=Toronto,"Toronto, ON",4 days ago,"Estimated: $100,000 - $140,000 a year","Director, Data & Analytics COE",www.workopolis.com
University Health Network,"Our research group at Princess Margaret focuses on lymphoid malignancies and, in particular, on scenarios that are associated with poor outcome such as early…",https://www.workopolis.com/jobsearch/viewjob/-qnPfodyVWZt57p89CDHFne7k5oUrH9YhRGyXflsXkHuFIMmd1-COw?ak=machine+learning&l=Toronto,"Toronto, ON",8 days ago,"Estimated: $73,000 - $91,000 a year",Scientific Associate II,www.workopolis.com
