job_title,company_name,job_location,job_salary,job_description,job_posted,posted_website,job_link
Marketing Science Analyst - Data Engineering,Critical Mass,"Toronto, ON",,"Develop dashboards that provide access to  for the marketing  team and other stakeholders.,Gather  through various third-party platforms and…",9 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=ef32de97a1f82255&fccid=4c1cecd72be0fe72&vjs=3
Data Scientist,SkipTheDishes,"Winnipeg, MB",,"Applied experience with machine learning,  , and solving problems at scale.,Confident in extracting and manipulating  from our various SQL and…",3 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=5005503167bf5934&fccid=3a2c8b6a483f049b&vjs=3
Intern - Data Science,sgsco,"Toronto, ON",,"Visualizes information and develops engaging reports on the results of  analysis using  visualization tools.,Fluency with Python and SQL is a must.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=e9a7bcf1d61b167c&fccid=8b6902cf5e1e68e5&vjs=3
Data Scientist,McAfee,"Waterloo, ON",,"You'll implement  hygiene (e.g., validation) that optimizes statistical efficiency and  quality/accuracy.,Medical, Dental and Vision Coverage.",9 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=1be320907491bf2a&fccid=800f11c47014effe&vjs=3
DATA ANALYST/STATISTICIAN,Universite Concordia,"Montréal, QC","$72,784 - $86,940 a year","Reporting to the Executive Director, Institutional Planning and Analysis (OIPA), the incumbent is responsible for accessing  from a variety of sources,…",2 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=5d7e72a57ea183c0&fccid=4ae40a4fd3b9e3bb&vjs=3
Artificial Intelligence and Data Analytics post graduate instructor,Saskatchewan Polytechnic,"Saskatoon, SK",,"Strategies to leverage the popular   language Python.,Enterprise  architecture and associated technologies.,Category of work Full Time.",10 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=79884c53ca9ff1b4&fccid=61f02e4162991248&vjs=3
Data Science Intern (New Grads) - Starts November 2020,LeapGrad Corp.,"Toronto, ON",,"Ability to  extract, transform, and load processes with a variety of  types.,Ability to perform complex  analysis on large volumes of  and…",14 days ago,Indeed.ca,https://ca.indeed.com/company/RatherME-Inc./jobs/Data-Science-Intern-951419f1dd08061d?fccid=0c87ce73104a1e6d&vjs=3
"Marketing Science Director, Data Innovation",Critical Mass,"Toronto, ON",,"Know when and how to leverage subject matter experts across our 3 sub disciplines within the marketing  group –  strategy,  engineering, data…",19 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=5c7b4c2b8f5df194&fccid=4c1cecd72be0fe72&vjs=3
AI/GIS map developer,CropRecords.com,"Saskatoon, SK","$65,000 - $120,000 a year",Experience with C# and/or Python would be ideal but we will definitely consider developers from any background or experience level.,2 days ago,Indeed.ca,https://ca.indeed.com/company/CropRecords/jobs/Ai-GIS-Map-Developer-244c47285634bb02?fccid=c49f8af2010d8cc3&vjs=3
Data Analyst,Wellington-Altus Private Wealth,"Winnipeg, MB",,"Experience designing  models and building  structures.,Write and review technical documents, including requirements and design documents for existing…",12 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=42b23abaed4b2dab&fccid=30d56a0c0e4a2d19&vjs=3
Data Scientist,Kabam,"Vancouver, BC",,"2+ years of industry experience translating  into actionable company insights.,Build Machine Learning Algorithms for  products to be implemented in-game…",3 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=f6d128507d45e87a&fccid=fde47f06a6b44d5e&vjs=3
Data Scientist / Engineer,MarkiTech,"Toronto, ON",,"Must be a Canadian citizen/PR and under the age of 30, Government grant.,And Economic Development of Canada, Digital Skills for Youth program.",5 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=01d655d9596f01d0&fccid=f57b07f6738cc6b0&vjs=3
Marketing Science Analyst - Data Strategy,Critical Mass,"Toronto, ON",,"Gather  through various third-party platforms and ensure compliance with  governance protocols.,Design, build and automate analyses, reports, dashboards…",9 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=166d1adb17ab160d&fccid=4c1cecd72be0fe72&vjs=3
Data Scientist (Decision Science),Compass Digital Labs,"Mississauga, ON",,"Discover different ways of analyzing  across our full company ecosystem, and provide actionable insights before and after high impact business decisions.",23 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=6831948887ddfbef&fccid=b0e29160afa0f3ea&vjs=3
Senior Data Analyst,MasterCard,"Vancouver, BC",,"Strong  analysis and  modeling skills;,Experience dealing with large  sets;,Intermediate level of  analysis and reporting experience in…",5 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=1ed3edc3bdcf2de0&fccid=10b5c722d846df43&vjs=3
Data Scientist,Hatch,"Mississauga, ON",,"Experience in  cleaning/ processing;,Working knowledge of  visualization tools;,Identify opportunities to improve  collection and management…",17 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=022194a6f08b395c&fccid=0ac3b933f5c5f8e3&vjs=3
Data Science / Machine Vision Intern,Relay Medical Corp.,"Etobicoke, ON",,We are looking for a  science/machine vision intern for 1-2 days per week to support machine vision and machine learning development projects for the…,30+ days ago,Indeed.ca,https://ca.indeed.com/company/Relay-Medical-Corp./jobs/Data-Science-239afaee735b95e7?fccid=2afa2b09ea267e00&vjs=3
SCRUM MASTER (DIGITAL & DATA SCIENCE),The Globe and Mail,"Toronto, ON",,"SCRUM MASTER (DIGITAL &  SCIENCE).,This role helps manage the chaos through the use of Agile methodologies such as Scrum, and keeps the team on the path to…",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=0f70b0d8632c48dc&fccid=2c209e080b2e73f5&vjs=3
Data Analyst (Remote),Yelp,Remote,,"Strongly desired: understanding of economic  and trends, and ability to examine relationships between our  and macro national/local trends.",30+ days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=52df01128134e3f6&fccid=0e94073a1c937bd1&vjs=3
Statistical Analyst,Western University,"London, ON",$35 an hour,"Ability to manage numerical data.,In addition, the incumbent would provide teaching and ongoing workshops on experimental design,  organization and…",4 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=9c9a1ffb7034b173&fccid=ca97c94e665c20fe&vjs=3
Data Scientist,Medlior Health Outcomes Research Ltd.,"Calgary, AB","$80,000 - $98,056 a year","O Ensuring  security at Medlior (backing up , code, etc.).,O Development and implementation of SOPs for Medlior  analytics.",12 days ago,Indeed.ca,https://ca.indeed.com/company/Medlior-Health-Outcomes-Research-Ltd./jobs/Data-Scientist-40c7a3917060d97d?fccid=339646b424dc5cb3&vjs=3
Data Analyst/Financial Analyst,Sunnyfuture Group,"Halifax, NS","$60,000 a year","Technical expertise regarding  models, database design development,  mining and segmentation techniques.,Customer interface and communication skills.",3 days ago,Indeed.ca,https://ca.indeed.com/company/SunnyFuture-Career-Ltd./jobs/Data-Analyst-Financial-Analyst-0cb55c227f4c9742?fccid=d1afcae81392e688&vjs=3
Casino Games Mathematician,Creative Game Technologies,"North York, ON",,As a mathematician you'd be expected to calculate the probabilities of winning combinations for the games while testing the mathematical outcomes to assure…,4 days ago,Indeed.ca,https://ca.indeed.com/company/Creative-Game-Technologies/jobs/Casino-Game-Mathematician-0414edbf55746a53?fccid=3fea413b5f5896d7&vjs=3
"Software and Data Systems Developer, Department of Physics and Astronomy, Faculty of Science",The University of Calgary,"Calgary, AB",,"Experience with  analysis and scientific methods.,Ensure that the operations produce excellent  quality applications.",8 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=28bac024aaadf0a6&fccid=73ba4947c3957345&vjs=3
Analytics Consultant,Advanced Analytics and Research Lab,"Toronto, ON","$64,991 - $160,483 a year","Attend analytics,  , AI and industry conferences and workshops, developing your own network.,Has experiences in  visualization, such as Tableau,…",12 days ago,Indeed.ca,https://ca.indeed.com/company/Advance-Analytics-and-Research-Lab/jobs/Analytic-Consultant-0d76d571b28dea8d?fccid=33f8d55a2e28126f&vjs=3
Senior Researcher and Statistical Analyst,Government of Saskatchewan,"Regina, SK",$41.69 - $50.72 an hour,"This includes the integration of  sets, monitoring current collection systems and ensuring relevancy of the existing  bases, and the implementation of…",5 days ago,Indeed.ca,https://ca.indeed.com/rc/clk?jk=ad5dfb5f4e68c4d7&fccid=46b05e24085a766c&vjs=3
